doc_id,source_type,source_name,url,topic,status,filepath_raw,last_updated,filepath_cleaned,filepath_processed,title,last_edited,retrieved
gov_015,gov,dhs,https://studyinthestates.dhs.gov/students/study/traveling-as-an-international-student,traveling,processed,C:\Users\yl73\studentnexus\data\raw\gov\gov_015_traveling-as-an-international-student.html,2026-04-19T21:17:09.441687,C:\Users\yl73\studentnexus\data\cleaned\gov\gov_015_traveling-as-an-international-student.md,C:\Users\yl73\studentnexus\data\processed\gov\gov_015_traveling-as-an-international-student.md,Traveling as an International Student | Study in the States,,4/19/2026
uni_001,uni,columbia,https://isso.columbia.edu/content/f-1-opt-optional-practical-training-during-your-degree-program,opt,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_001_f-1-opt-optional-practical-training-during-your-degree-program.html,2026-04-19T21:17:09.673915,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_001_f-1-opt-optional-practical-training-during-your-degree-program.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_001_f-1-opt-optional-practical-training-during-your-degree-program.md,F-1 OPT (Optional Practical Training) During Your Degree Program | ISSO,,4/19/2026
uni_002,uni,columbia,https://isso.columbia.edu/content/travel-signatures-and-i-20ds-2019-reprints-f-and-j-students,i20 traveling,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_002_travel-signatures-and-i-20ds-2019-reprints-f-and-j-students.html,2026-04-19T21:17:09.825049,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_002_travel-signatures-and-i-20ds-2019-reprints-f-and-j-students.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_002_travel-signatures-and-i-20ds-2019-reprints-f-and-j-students.md,Travel Signatures and I-20/DS-2019 Reprints (F and J Students) | ISSO,,4/19/2026
uni_003,uni,columbia,https://isso.columbia.edu/content/documents-needed-travel-student,traveling,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_003_documents-needed-travel-student.html,2026-04-19T21:17:10.012179,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_003_documents-needed-travel-student.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_003_documents-needed-travel-student.md,Documents Needed to Travel (Students) | ISSO,,4/19/2026
uni_004,uni,columbia,https://isso.columbia.edu/content/travel-during-f-1-opt,traveling,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_004_travel-during-f-1-opt.html,2026-04-19T21:17:10.211731,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_004_travel-during-f-1-opt.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_004_travel-during-f-1-opt.md,Travel During F-1 OPT | ISSO,,4/19/2026
uni_005,uni,columbia,https://isso.columbia.edu/content/campus-work-f-and-j-students,campus work,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_005_campus-work-f-and-j-students.html,2026-04-19T21:17:10.318939,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_005_campus-work-f-and-j-students.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_005_campus-work-f-and-j-students.md,On-Campus Work (F and J Students) | ISSO,,4/19/2026
uni_006,uni,columbia,https://isso.columbia.edu/content/f-1-cpt-curricular-practical-training,cpt,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_006_f-1-cpt-curricular-practical-training.html,2026-04-19T21:17:10.524624,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_006_f-1-cpt-curricular-practical-training.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_006_f-1-cpt-curricular-practical-training.md,F-1 CPT (Curricular Practical Training) | ISSO,,4/19/2026
uni_007,uni,columbia,https://isso.columbia.edu/content/unpaid-internships-and-volunteering,unpaid,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_007_unpaid-internships-and-volunteering.html,2026-04-19T21:17:10.649448,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_007_unpaid-internships-and-volunteering.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_007_unpaid-internships-and-volunteering.md,Unpaid Internships and Volunteering | ISSO,,4/19/2026
uni_008,uni,columbia,https://isso.columbia.edu/content/f-1-opt-optional-practical-training-during-your-degree-program,pre opt,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_008_f-1-opt-optional-practical-training-during-your-degree-program.html,2026-04-19T21:17:10.964692,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_008_f-1-opt-optional-practical-training-during-your-degree-program.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_008_f-1-opt-optional-practical-training-during-your-degree-program.md,F-1 OPT (Optional Practical Training) During Your Degree Program | ISSO,,4/19/2026
uni_009,uni,columbia,https://isso.columbia.edu/content/f-1-opt-optional-practical-training-after-your-degree-program,post opt,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_009_f-1-opt-optional-practical-training-after-your-degree-program.html,2026-04-19T21:17:11.303146,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_009_f-1-opt-optional-practical-training-after-your-degree-program.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_009_f-1-opt-optional-practical-training-after-your-degree-program.md,F-1 OPT (Optional Practical Training) After Your Degree Program | ISSO,,4/19/2026
uni_010,uni,columbia,https://isso.columbia.edu/content/f-1-stem-opt-extension,opt extension,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_010_f-1-stem-opt-extension.html,2026-04-19T21:17:11.566253,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_010_f-1-stem-opt-extension.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_010_f-1-stem-opt-extension.md,F-1 STEM OPT Extension | ISSO,,4/19/2026
uni_011,uni,columbia,https://isso.columbia.edu/content/opt-reporting,opt reporting,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_011_opt-reporting.html,2026-04-19T21:17:11.698069,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_011_opt-reporting.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_011_opt-reporting.md,OPT Reporting | ISSO,,4/19/2026
uni_012,uni,columbia,https://isso.columbia.edu/content/stem-opt-reporting,stem opt reporting,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_012_stem-opt-reporting.html,2026-04-19T21:17:11.855491,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_012_stem-opt-reporting.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_012_stem-opt-reporting.md,STEM OPT Reporting | ISSO,,4/19/2026
uni_013,uni,columbia,https://isso.columbia.edu/content/cap-gap-opt-extension,opt extension,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_013_cap-gap-opt-extension.html,2026-04-19T21:17:12.003224,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_013_cap-gap-opt-extension.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_013_cap-gap-opt-extension.md,Cap-Gap OPT Extension | ISSO,,4/19/2026
